"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 04 20:35:40 GMT 2021","Wed Aug 04 20:35:42 GMT 2021","2038","","MainTest","","MainTest","testCheckRadioUrl","testCheckRadioUrl()",""
"broken","Wed Aug 04 20:35:43 GMT 2021","Wed Aug 04 20:35:45 GMT 2021","1987","","MainTest","","MainTest","testCheckRadioClick","testCheckRadioClick()",""
"passed","Wed Aug 04 20:35:45 GMT 2021","Wed Aug 04 20:35:46 GMT 2021","846","","MainTest","","MainTest","testTableNameRows","testTableNameRows()",""
"passed","Wed Aug 04 20:35:42 GMT 2021","Wed Aug 04 20:35:43 GMT 2021","907","","MainTest","","MainTest","testTableSecRows","testTableSecRows()",""
"passed","Wed Aug 04 20:35:38 GMT 2021","Wed Aug 04 20:35:39 GMT 2021","1213","","MainTest","","MainTest","testTableRows","testTableRows()",""
"passed","Wed Aug 04 20:35:39 GMT 2021","Wed Aug 04 20:35:40 GMT 2021","895","","MainTest","","MainTest","testTableColNames","testTableColNames()",""
