"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 20:21:43 GMT 2021","Wed Aug 04 20:21:44 GMT 2021","852","","MainTest","","MainTest","testTableNameRows","testTableNameRows()",""
"broken","Wed Aug 04 20:21:41 GMT 2021","Wed Aug 04 20:21:43 GMT 2021","1986","","MainTest","","MainTest","testCheckRadioClick","testCheckRadioClick()",""
"passed","Wed Aug 04 20:21:36 GMT 2021","Wed Aug 04 20:21:37 GMT 2021","1187","","MainTest","","MainTest","testTableRows","testTableRows()",""
"passed","Wed Aug 04 20:21:37 GMT 2021","Wed Aug 04 20:21:38 GMT 2021","848","","MainTest","","MainTest","testTableColNames","testTableColNames()",""
"passed","Wed Aug 04 20:21:40 GMT 2021","Wed Aug 04 20:21:41 GMT 2021","845","","MainTest","","MainTest","testTableSecRows","testTableSecRows()",""
"broken","Wed Aug 04 20:21:38 GMT 2021","Wed Aug 04 20:21:40 GMT 2021","2005","","MainTest","","MainTest","testCheckRadioUrl","testCheckRadioUrl()",""
