"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 05 15:04:25 GMT 2021","Thu Aug 05 15:04:44 GMT 2021","18972","","MainTest","","MainTest","testCheckRadioUrl","testCheckRadioUrl()",""
"passed","Thu Aug 05 15:04:44 GMT 2021","Thu Aug 05 15:04:45 GMT 2021","950","","MainTest","","MainTest","testTableSecRows","testTableSecRows()",""
"passed","Thu Aug 05 15:05:04 GMT 2021","Thu Aug 05 15:05:05 GMT 2021","856","","MainTest","","MainTest","testTableNameRows","testTableNameRows()",""
"passed","Thu Aug 05 15:04:24 GMT 2021","Thu Aug 05 15:04:25 GMT 2021","874","","MainTest","","MainTest","testTableColNames","testTableColNames()",""
"failed","Thu Aug 05 15:04:45 GMT 2021","Thu Aug 05 15:05:04 GMT 2021","18805","","MainTest","","MainTest","testCheckRadioClick","testCheckRadioClick()",""
"passed","Thu Aug 05 15:04:23 GMT 2021","Thu Aug 05 15:04:24 GMT 2021","1397","","MainTest","","MainTest","testTableRows","testTableRows()",""
