"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 05 14:09:15 GMT 2021","Thu Aug 05 14:09:29 GMT 2021","13340","","MainTest","","MainTest","testCheckRadioUrl","testCheckRadioUrl()",""
"broken","Thu Aug 05 14:09:29 GMT 2021","Thu Aug 05 14:09:42 GMT 2021","12630","","MainTest","","MainTest","testCheckRadioClick","testCheckRadioClick()",""
"passed","Thu Aug 05 14:09:14 GMT 2021","Thu Aug 05 14:09:15 GMT 2021","989","","MainTest","","MainTest","testTableColNames","testTableColNames()",""
"passed","Thu Aug 05 14:09:29 GMT 2021","Thu Aug 05 14:09:29 GMT 2021","884","","MainTest","","MainTest","testTableSecRows","testTableSecRows()",""
"passed","Thu Aug 05 14:09:13 GMT 2021","Thu Aug 05 14:09:14 GMT 2021","1236","","MainTest","","MainTest","testTableRows","testTableRows()",""
"passed","Thu Aug 05 14:09:42 GMT 2021","Thu Aug 05 14:09:43 GMT 2021","1001","","MainTest","","MainTest","testTableNameRows","testTableNameRows()",""
