"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 13:39:16 GMT 2021","Thu Aug 05 13:39:17 GMT 2021","966","","MainTest","","MainTest","testTableColNames","testTableColNames()",""
"failed","Thu Aug 05 13:39:21 GMT 2021","Thu Aug 05 13:39:24 GMT 2021","2893","","MainTest","","MainTest","testCheckRadioClick","testCheckRadioClick()",""
"passed","Thu Aug 05 13:39:14 GMT 2021","Thu Aug 05 13:39:16 GMT 2021","1483","","MainTest","","MainTest","testTableRows","testTableRows()",""
"passed","Thu Aug 05 13:39:24 GMT 2021","Thu Aug 05 13:39:25 GMT 2021","1086","","MainTest","","MainTest","testTableNameRows","testTableNameRows()",""
"passed","Thu Aug 05 13:39:20 GMT 2021","Thu Aug 05 13:39:21 GMT 2021","1126","","MainTest","","MainTest","testTableSecRows","testTableSecRows()",""
"failed","Thu Aug 05 13:39:17 GMT 2021","Thu Aug 05 13:39:20 GMT 2021","2866","","MainTest","","MainTest","testCheckRadioUrl","testCheckRadioUrl()",""
