"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 05 10:13:46 GMT 2021","Thu Aug 05 10:13:54 GMT 2021","8083","","MainTest","","MainTest","testCheckRadioUrl","testCheckRadioUrl()",""
"passed","Thu Aug 05 10:13:45 GMT 2021","Thu Aug 05 10:13:46 GMT 2021","817","","MainTest","","MainTest","testTableColNames","testTableColNames()",""
"passed","Thu Aug 05 10:13:54 GMT 2021","Thu Aug 05 10:13:55 GMT 2021","815","","MainTest","","MainTest","testTableSecRows","testTableSecRows()",""
"passed","Thu Aug 05 10:13:44 GMT 2021","Thu Aug 05 10:13:45 GMT 2021","1029","","MainTest","","MainTest","testTableRows","testTableRows()",""
"passed","Thu Aug 05 10:14:03 GMT 2021","Thu Aug 05 10:14:03 GMT 2021","678","","MainTest","","MainTest","testTableNameRows","testTableNameRows()",""
"failed","Thu Aug 05 10:13:55 GMT 2021","Thu Aug 05 10:14:03 GMT 2021","7927","","MainTest","","MainTest","testCheckRadioClick","testCheckRadioClick()",""
