"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 04 19:42:09 GMT 2021","Wed Aug 04 19:42:11 GMT 2021","1893","","MainTest","","MainTest","testCheckRadioClick","testCheckRadioClick()",""
"broken","Wed Aug 04 19:42:06 GMT 2021","Wed Aug 04 19:42:08 GMT 2021","1921","","MainTest","","MainTest","testCheckRadioUrl","testCheckRadioUrl()",""
"passed","Wed Aug 04 19:42:05 GMT 2021","Wed Aug 04 19:42:06 GMT 2021","786","","MainTest","","MainTest","testTableColNames","testTableColNames()",""
"passed","Wed Aug 04 19:42:04 GMT 2021","Wed Aug 04 19:42:05 GMT 2021","1110","","MainTest","","MainTest","testTableRows","testTableRows()",""
"passed","Wed Aug 04 19:42:11 GMT 2021","Wed Aug 04 19:42:12 GMT 2021","817","","MainTest","","MainTest","testTableNameRows","testTableNameRows()",""
"passed","Wed Aug 04 19:42:08 GMT 2021","Wed Aug 04 19:42:09 GMT 2021","888","","MainTest","","MainTest","testTableSecRows","testTableSecRows()",""
