"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 20:13:45 GMT 2021","Wed Aug 04 20:13:46 GMT 2021","850","","MainTest","","MainTest","testTableSecRows","testTableSecRows()",""
"passed","Wed Aug 04 20:13:42 GMT 2021","Wed Aug 04 20:13:43 GMT 2021","900","","MainTest","","MainTest","testTableColNames","testTableColNames()",""
"passed","Wed Aug 04 20:13:48 GMT 2021","Wed Aug 04 20:13:49 GMT 2021","879","","MainTest","","MainTest","testTableNameRows","testTableNameRows()",""
"passed","Wed Aug 04 20:13:40 GMT 2021","Wed Aug 04 20:13:42 GMT 2021","1828","","MainTest","","MainTest","testTableRows","testTableRows()",""
"broken","Wed Aug 04 20:13:43 GMT 2021","Wed Aug 04 20:13:45 GMT 2021","1945","","MainTest","","MainTest","testCheckRadioUrl","testCheckRadioUrl()",""
"broken","Wed Aug 04 20:13:46 GMT 2021","Wed Aug 04 20:13:48 GMT 2021","2004","","MainTest","","MainTest","testCheckRadioClick","testCheckRadioClick()",""
