"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 09:49:45 GMT 2021","Thu Aug 05 09:49:46 GMT 2021","1107","","MainTest","","MainTest","testTableRows","testTableRows()",""
"failed","Thu Aug 05 09:49:50 GMT 2021","Thu Aug 05 09:49:52 GMT 2021","2648","","MainTest","","MainTest","testCheckRadioClick","testCheckRadioClick()",""
"passed","Thu Aug 05 09:49:49 GMT 2021","Thu Aug 05 09:49:50 GMT 2021","734","","MainTest","","MainTest","testTableSecRows","testTableSecRows()",""
"failed","Thu Aug 05 09:49:47 GMT 2021","Thu Aug 05 09:49:49 GMT 2021","2092","","MainTest","","MainTest","testCheckRadioUrl","testCheckRadioUrl()",""
"passed","Thu Aug 05 09:49:46 GMT 2021","Thu Aug 05 09:49:47 GMT 2021","746","","MainTest","","MainTest","testTableColNames","testTableColNames()",""
"passed","Thu Aug 05 09:49:52 GMT 2021","Thu Aug 05 09:49:53 GMT 2021","783","","MainTest","","MainTest","testTableNameRows","testTableNameRows()",""
