"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 15:31:02 GMT 2021","Thu Aug 05 15:31:03 GMT 2021","1057","","MainTest","","MainTest","testTableColNames","testTableColNames()",""
"failed","Thu Aug 05 15:31:44 GMT 2021","Thu Aug 05 15:32:23 GMT 2021","39300","","MainTest","","MainTest","testCheckRadioClick","testCheckRadioClick()",""
"passed","Thu Aug 05 15:31:43 GMT 2021","Thu Aug 05 15:31:44 GMT 2021","908","","MainTest","","MainTest","testTableSecRows","testTableSecRows()",""
"passed","Thu Aug 05 15:31:01 GMT 2021","Thu Aug 05 15:31:02 GMT 2021","1390","","MainTest","","MainTest","testTableRows","testTableRows()",""
"failed","Thu Aug 05 15:31:03 GMT 2021","Thu Aug 05 15:31:43 GMT 2021","39250","","MainTest","","MainTest","testCheckRadioUrl","testCheckRadioUrl()",""
"passed","Thu Aug 05 15:32:23 GMT 2021","Thu Aug 05 15:32:34 GMT 2021","11001","","MainTest","","MainTest","testTableNameRows","testTableNameRows()",""
