"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 05 16:06:54 GMT 2021","Thu Aug 05 16:06:54 GMT 2021","165","","MainTest","","MainTest","testCheckRadioUrl","testCheckRadioUrl()",""
"broken","Thu Aug 05 16:06:55 GMT 2021","Thu Aug 05 16:06:55 GMT 2021","137","","MainTest","","MainTest","testTableNameRows","testTableNameRows()",""
"broken","Thu Aug 05 16:06:54 GMT 2021","Thu Aug 05 16:06:54 GMT 2021","491","","MainTest","","MainTest","testTableRows","testTableRows()",""
"broken","Thu Aug 05 16:06:55 GMT 2021","Thu Aug 05 16:06:55 GMT 2021","154","","MainTest","","MainTest","testCheckRadioClick","testCheckRadioClick()",""
"broken","Thu Aug 05 16:06:54 GMT 2021","Thu Aug 05 16:06:55 GMT 2021","154","","MainTest","","MainTest","testTableSecRows","testTableSecRows()",""
"broken","Thu Aug 05 16:06:54 GMT 2021","Thu Aug 05 16:06:54 GMT 2021","152","","MainTest","","MainTest","testTableColNames","testTableColNames()",""
